"","stateyear","predicted","hbfunds"
"266","maine_1955","  532778.88",190000
"267","maine_1956"," 1106728.24",1052402
"268","maine_1957"," 1044555.08",1175000
"269","maine_1958"," 1309146.75",1037054
"270","maine_1959"," 1111794.43",1150121
"271","maine_1960"," 1258516.19",1331742
"272","maine_1961"," 1203528.03",1259027
"273","maine_1962"," 1429539.87",2790470
"274","maine_1963"," 1442900.73",1704868
"275","maine_1964"," 1326546.23",110000
"276","maryland_1948"," 1590655.02",645934
"277","maryland_1949"," 1453575.38",2589249
"278","maryland_1950"," 1893315.61",123829
"279","maryland_1951","  847095.17",1067627
"280","maryland_1952"," 1006261.24",1090004
"281","maryland_1953","  613773.72",724201
"282","maryland_1954","  532146.70",929138
"283","maryland_1955","  814487.81",1253468
"284","maryland_1956"," 1752877.42",2527069
"285","maryland_1957"," 1732936.10",1193394
"286","maryland_1958"," 2337070.28",995188
"287","maryland_1959"," 2013244.48",4219185
"288","maryland_1960"," 2356487.24",3380696
"289","maryland_1961"," 2365605.47",2436058
"290","maryland_1962"," 3038838.19",1988270
"291","maryland_1963"," 3093600.20",3975275
"292","maryland_1964"," 2833148.27",1454013
"293","massachusetts_1948"," 3065472.26",2096466
"294","massachusetts_1949"," 2597044.22",3209511
"295","massachusetts_1950"," 3390913.72",1995158
"296","massachusetts_1951"," 1543884.99",1486866
"297","massachusetts_1952"," 1858879.74",3006348
"298","massachusetts_1953"," 1145973.73",1660768
"299","massachusetts_1954","  986647.29",1e+06
"300","massachusetts_1955"," 1530707.44",814002
"301","massachusetts_1956"," 3231907.75",2622592
"302","massachusetts_1957"," 3046579.78",3397095
"303","massachusetts_1958"," 3875714.18",2016558
"304","massachusetts_1959"," 3262318.44",3809792
"305","massachusetts_1960"," 3677748.42",1820664
"306","massachusetts_1961"," 3476130.19",4954250
"307","massachusetts_1962"," 4212222.36",4602465
"308","massachusetts_1963"," 4143651.92",4219517
"309","massachusetts_1964"," 3776020.99",4233216
"310","michigan_1948"," 4080631.34",3217350
"311","michigan_1949"," 3620582.45",6749776
"312","michigan_1950"," 4592926.35",1481934
"313","michigan_1951"," 1990127.57",1221103
"314","michigan_1952"," 2407914.32",2918850
"315","michigan_1953"," 1455480.18",2163441
"316","michigan_1954"," 1250258.99",1344352
"317","michigan_1955"," 1834520.74",3411149
"318","michigan_1956"," 3842681.77",3703981
"319","michigan_1957"," 3506955.24",3288960
"320","michigan_1958"," 4877471.92",6999179
"321","michigan_1959"," 4362283.50",4420980
"322","michigan_1960"," 5485180.03",2772936
"323","michigan_1961"," 5492047.25",5989056
"324","michigan_1962"," 6827303.06",6370161
"325","michigan_1963"," 6957443.20",8242208
"326","michigan_1964"," 6433063.83",11427130
"327","minnesota_1948"," 3039769.41",2016726
"328","minnesota_1949"," 2377707.54",2246066
"329","minnesota_1950"," 2841436.29",5843367
"330","minnesota_1951"," 1251625.04",1289353
"331","minnesota_1952"," 1545043.59",971467
"332","minnesota_1954","  881657.14",1266997
"333","minnesota_1955"," 1383146.85",2225530
"334","minnesota_1956"," 2915559.89",4041817
"335","minnesota_1957"," 2763284.07",1556791
"336","minnesota_1958"," 3645437.14",3673364
"337","minnesota_1959"," 3208234.91",1581353
"338","minnesota_1960"," 3622652.56",5354661
"339","minnesota_1961"," 3395942.30",3427646
"340","minnesota_1962"," 4064603.95",4624857
"341","minnesota_1963"," 4017878.15",2145370
"342","minnesota_1964"," 3620225.01",4517975
"343","mississippi_1947","  440074.06",1781395
"344","mississippi_1948"," 4310216.60",8443811
"345","mississippi_1949"," 3595640.63",2488052
"346","mississippi_1950"," 4611440.99",465289
"347","mississippi_1951"," 2002297.92",3e+06
"348","mississippi_1952"," 2428533.45",2205959
"349","mississippi_1953"," 1490360.91",638952
"350","mississippi_1954"," 1235349.41",934267
"351","mississippi_1955"," 1885011.54",2590479
"352","mississippi_1956"," 3979875.13",4425464
"353","mississippi_1957"," 3719030.05",1766253
"354","mississippi_1958"," 4749776.46",4547037
"355","mississippi_1959"," 4152832.10",3306290
"356","mississippi_1960"," 4748368.33",3865348
"357","mississippi_1961"," 4406812.25",6301210
"358","mississippi_1962"," 5293397.63",2772317
"359","mississippi_1963"," 5190378.51",3685805
"360","mississippi_1964"," 4700590.97",3394024
"361","missouri_1948"," 3860629.94",5389363
"362","missouri_1949"," 3162436.17",758868
"363","missouri_1950"," 3978836.02",3614945
"364","missouri_1951"," 1767142.77",508997
"365","missouri_1952"," 2102955.52",2762075
"366","missouri_1953"," 1331819.23",2419558
"367","missouri_1954"," 1152057.87",1139386
"368","missouri_1955"," 1777962.00",1119272
"369","missouri_1956"," 3654268.17",3482974
"370","missouri_1957"," 3444683.57",4408033
"371","missouri_1958"," 4415113.12",2707051
"372","missouri_1959"," 3872010.01",5145212
"373","missouri_1960"," 4318069.80",5445470
"374","missouri_1961"," 3975071.45",2614901
"375","missouri_1962"," 4676282.61",6726075
"376","missouri_1963"," 4707198.32",5792137
"377","missouri_1964"," 4341209.34",3290520
"378","montana_1948","  460009.61",507723
"379","montana_1949","  361690.45",106648
"380","montana_1950","  418983.05",381071
"381","montana_1951","  200000.00",190132
"382","montana_1952","  234779.10",431658
"383","montana_1953","  200000.00",153621
"384","montana_1955","  221050.39",269331
"385","montana_1956","  510728.23",586353
"386","montana_1957","  505163.64",350277
"387","montana_1958","  661636.18",1504476
"388","montana_1959","  576715.34",820828
"389","montana_1960","  663822.09",39650
"390","montana_1961","  661515.11",1235409
"391","montana_1962","  821812.80",1942423
"392","montana_1963","  886186.08",224040
"393","montana_1964","  774933.18",537953
"394","nebraska_1948"," 1233518.50",980107
"395","nebraska_1949"," 1018663.65",299572
"396","nebraska_1950"," 1199754.31",1414200
"397","nebraska_1951","  513048.62",672918
"398","nebraska_1952","  583149.98",1049759
"399","nebraska_1953","  384221.03",659841
"400","nebraska_1954","  323608.15",283688
"401","nebraska_1955","  552883.29",1118187
"402","nebraska_1956"," 1175913.78",1369816
"403","nebraska_1957"," 1228763.17",946164
"404","nebraska_1958"," 1662725.34",1975863
"405","nebraska_1959"," 1454673.47",2158033
"406","nebraska_1960"," 1532681.41",1821437
"407","nebraska_1961"," 1370591.09",4050611
"408","nebraska_1962"," 1648260.39",172148
"409","nebraska_1963"," 1698519.04",1864759
"410","nebraska_1964"," 1524409.15",2092768
"411","nevada_1949","  200000.00",9108
"412","nevada_1950","  200000.00",251840
"413","nevada_1951","  200000.00",87508
"414","nevada_1953","  200000.00",461996
"415","nevada_1954","  200000.00",437955
"416","nevada_1956","  200000.00",516774
"417","nevada_1957","  200000.00",400160
"418","nevada_1958","  200000.00",581481
"419","nevada_1959","  200000.00",387865
"420","nevada_1960","  200000.00",665529
"421","nevada_1961","  200000.00",112078
"422","nevada_1962","  200000.00",1308398
"423","nevada_1964","  200000.00",53961
"424","new hampshire_1948","  541629.59",302056
"425","new hampshire_1949","  447816.14",743981
"426","new hampshire_1950","  567648.94",988585
"427","new hampshire_1952","  314737.70",252000
"428","new hampshire_1953","  200000.00",852147
"429","new hampshire_1956","  537472.09",919713
"430","new hampshire_1957","  490943.74",888762
"431","new hampshire_1958","  620857.34",832174
"432","new hampshire_1959","  532886.28",545765
"433","new hampshire_1960","  614616.16",463823
"434","new hampshire_1961","  575967.35",1987851
"435","new hampshire_1962","  703221.15",1220753
"436","new hampshire_1963","  697888.18",261017
"437","new hampshire_1964","  639127.73",184754
"438","new jersey_1948"," 2025412.77",2486639
"439","new jersey_1949"," 1852324.56",2187955
"440","new jersey_1950"," 2697551.15",3756309
"441","new jersey_1951"," 1276839.32",4612632
"442","new jersey_1953","  944629.48",14280
"443","new jersey_1955"," 1210332.66",2247913
"444","new jersey_1956"," 2478076.41",2375512
"445","new jersey_1957"," 2368385.14",67263
"446","new jersey_1958"," 3119283.72",4906351
"447","new jersey_1959"," 2705999.65",557866
"448","new jersey_1960"," 3258433.06",3250025
"449","new jersey_1961"," 3298688.61",3533845
"450","new jersey_1962"," 4205110.60",4227710
"451","new jersey_1963"," 4172048.82",2413452
"452","new jersey_1964"," 3806325.17",5320893
"453","new mexico_1947","   84050.16",112406
"454","new mexico_1948","  848523.38",2125600
"455","new mexico_1950","  981827.80",1620122
"456","new mexico_1953","  326954.87",9116
"457","new mexico_1954","  282360.35",231936
"458","new mexico_1956","  951645.14",1836158
"459","new mexico_1957","  946580.88",1256123
"460","new mexico_1958"," 1254870.89",501575
"461","new mexico_1959"," 1088491.04",2601810
"462","new mexico_1960"," 1217175.99",917675
"463","new mexico_1961"," 1113298.00",1141268
"464","new mexico_1962"," 1356666.61",733293
"465","new mexico_1963"," 1381085.62",2392897
"466","new mexico_1964"," 1307613.45",419571
"467","new york_1948"," 6150483.63",6814509
"468","new york_1949"," 5174603.37",5612698
"469","new york_1950"," 6483778.88",4707487
"470","new york_1951"," 2908351.96",3537059
"471","new york_1952"," 3906612.30",3028556
"472","new york_1953"," 2555963.32",2757207
"473","new york_1954"," 2381996.16",2291024
"474","new york_1955"," 3841042.36",4480526
"475","new york_1956"," 7967543.16",4572715
"476","new york_1957"," 7351650.02",6061433
"477","new york_1958"," 9256827.87",13589751
"478","new york_1959"," 7821882.40",7783852
"479","new york_1960"," 8685971.03",7163999
"480","new york_1961"," 7932563.30",3349016
"481","new york_1962"," 9286031.45",10601664
